Key	Author	Title	Url	Date	Num Pages	Num Pages (est.)	Publisher	Place	Call Number	Manual Tags	Editor	Translator	Contributor
3ANMXZKB	Lemaître, Jules (1853-1914)	Fénelon	"http://gallica.bnf.fr/ark:/12148/bpt6k97518266?rk=21459;2"	1910	328	328	A. Fayard	Paris	http://catalogue.bnf.fr/ark:/12148/cb30785058r/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; priorite_1; responsable_Alexandre-Critique"			
278Z2NHE	Molière (1622-1673)	Les Œuvres de Molière avec notes et variantes, par Alphonse Pauly, tome 4	http://gallica.bnf.fr/ark:/12148/bpt6k96123021	1888	328	328	A. Lemerre	Paris	http://catalogue.bnf.fr/ark:/12148/cb30958251b/PUBLIC	"BNF_2014-03_COM; corpus_Molière; etat_NUM-Done; etat_TODO-Stylage; responsable_Forestier"	Pauly, Alphonse		
CJ9MF68B	"Dampmartin, Anne-Henri Cabet (1755-1825 ; vicomte de)"	Essai de littérature, à l'usage des dames, tome II	http://gallica.bnf.fr/ark:/12148/bpt6k6474399h	1794	332	332	G. Heintzen	Amsterdam	http://catalogue.bnf.fr/ark:/12148/cb302973979	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; responsable_Alexandre-Critique"			
MV3Z8K9K	Legouvé, Ernest (1807-1903)	La lecture en famille : la lecture en action, l'art de la lecture	"http://gallica.bnf.fr/ark:/12148/bpt6k96877284?rk=42918;4"	1882	332	332	J. Hetzel	Paris	http://catalogue.bnf.fr/ark:/12148/cb30777460p/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; priorite_2; responsable_Alexandre-Critique"			
UISUZEWD	Nisard, Désiré (1806-1888)	Nouveaux mélanges d’histoire et de littérature	http://gallica.bnf.fr/ark:/12148/bpt6k9693484r	1886	332	332	C. Lévy	Paris	http://catalogue.bnf.fr/ark:/12148/cb31019664s/PUBLIC	"BNF_2014-03_COM; CHARGÉ; corpus_Critique; corpus_Sciences; etat_NUM-Done; etat_TODO-OCR; priorite_1; responsable_Alexandre-Critique; responsable_Riguet-Lettres"			
S3VQ6RM3	Albalat, Antoine (1856-1935)	L'art d'écrire enseigné en vingt leçons	http://gallica.bnf.fr/ark:/12148/bpt6k96104087	1899	VII-326	333	A. Colin	Paris	http://catalogue.bnf.fr/ark:/12148/cb31706294w/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; modeGallica_texte; priorite_1; responsable_Alexandre-Critique"			
2K2NJJNT	Rigal, Eugène (1856-1920)	Molière, tome II	http://gallica.bnf.fr/ark:/12148/bpt6k9611592t	1908	333	333	Hachette	Paris	http://catalogue.bnf.fr/ark:/12148/cb31217003s/PUBLIC	"BNF_2014-03_COM; corpus_Critique; corpus_Molière; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; priorite_2; responsable_Alexandre-Critique; responsable_Forestier"			
X7WTKBIT	Derème, Tristan (1889-1941)	Le violon des Muses	http://gallica.bnf.fr/ark:/12148/bpt6k96168539	1935	334	334	B. Grasset	Paris	http://catalogue.bnf.fr/ark:/12148/cb320179690/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; priorite_2; responsable_Alexandre-Critique"			
JHCCWK6W	Brunetière, Ferdinand (1849-1906)	Nouveaux essais sur la littérature contemporaine	http://gallica.bnf.fr/ark:/12148/bpt6k9613226d	1895	335	335	C. Lévy	Paris		"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; modeGallica_texte; operateur_HG; priorite_1; responsable_Alexandre-Critique"			
ECWRDZDR	Montégut, Émile (1825-1895)	"Heures de lecture d'un critique ; John Aubrey ; Pope ; William Collins ; Sir John Maundeville"	http://gallica.bnf.fr/ark:/12148/bpt6k9611459v	1891	337	337	Hachette	Paris	http://catalogue.bnf.fr/ark:/12148/cb30968994r/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; priorite_2; responsable_Alexandre-Critique"			
