Key	Author	Title	Url	Date	Num Pages	Publisher	Place	Call Number	Manual Tags	Editor	Translator	Contributor
XJ8WKDFS	Souriau, Maurice (1856-19..)	Pascal	https://archive.org/details/pascal01sourgoog	1898	240	Société française d'imprimerie et de librairie	Paris	http://catalogue.bnf.fr/ark:/12148/cb31389640r/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
2C6PF26R	Souriau, Maurice (1856-19..)	Bernardin de Saint-Pierre d'après ses manuscrits		1905	492	Société française d'imprimerie et de librairie	Paris	http://catalogue.bnf.fr/ark:/12148/cb35320159x/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
63NXQBCH	Souriau, Maurice (1856-19..)	Les idées morales de Victor Hugo		1908	101	Bloud	Paris	http://catalogue.bnf.fr/ark:/12148/cb31389636h/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
XQHRQABE	Souriau, Maurice (1856-19..)	Népomucène Lemercier et ses correspondants	https://archive.org/details/npomucnelemerci00lemegoog	1908	320	Vuibert et Nony	Paris	http://catalogue.bnf.fr/ark:/12148/cb313896386/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
WQ4ZZVDG	Souriau, Maurice (1856-19..)	Les idées morales de Chateaubriand		1909	95	Bloud	Paris	http://catalogue.bnf.fr/ark:/12148/cb31389634t/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
EQ7PKX2U	Souriau, Maurice (1856-19..)	Les idées morales de Mme de Staël		1910	119	Bloud	Paris	http://catalogue.bnf.fr/ark:/12148/cb313896355/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
SXZ7PE5E	Souriau, Maurice (1856-19..)	Histoire du romantisme en France…, tome I		1927	351	Éditions Spes	Paris	http://catalogue.bnf.fr/ark:/12148/cb31389633g/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
EVE73RAZ	Souriau, Maurice (1856-19..)	Histoire du romantisme en France…, tome II		1927	280	Éditions Spes	Paris	http://catalogue.bnf.fr/ark:/12148/cb31389633g/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
ICVI9JRB	Souriau, Maurice (1856-19..)	Histoire du romantisme en France…, tome III		1927	306	Éditions Spes	Paris	http://catalogue.bnf.fr/ark:/12148/cb31389633g/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
N72IZ29R	Souriau, Maurice (1856-19..)	Histoire du Parnasse		1929	520	Éditions Spes	Paris	http://catalogue.bnf.fr/ark:/12148/cb313896324/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
PJXMV53C	Souriau, Maurice (1856-19..)	René Bazin		1945	177	la Bonne presse	Paris	http://catalogue.bnf.fr/ark:/12148/cb313896444/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
38J5ZDHH	Staël-Holstein, Germaine de (1766-1817)	Oeuvres complètes de Mme la Bonne de Staël…, VIII. Corinne	https://archive.org/details/uvrescompltesde19gergoog	1820	444	Treuttel et Wurtz	Paris	http://catalogue.bnf.fr/ark:/12148/cb32480690f/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_1; responsable_Alexandre-Critique"			
H5IVDFG9	Stapfer, Paul (1840-1917)	La poétique de sir Philip Sidney. Lecture de réception faite le 10 mars 1876 à l'Académie delphinale		1877	35	impr. de Prudhomme-Dauphin et Dupont	Grenoble	http://catalogue.bnf.fr/ark:/12148/cb31399164k/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
E8S9Q5XU	Stapfer, Paul (1840-1917)	Shakespeare et l'Antiquité. 1, Drames et poèmes antiques de Shakespeare, nouv. éd. revue et corrigée		1883	425	Fischbacher	Paris	http://catalogue.bnf.fr/ark:/12148/cb37062615r/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; PB-BN-RICHELIEU; priorite_2; responsable_Alexandre-Critique"			
BWNTMXDD	Stapfer, Paul (1840-1917)	Shakespeare et l'Antiquité. 3, Shakespeare et les tragiques grecs, nouv. éd. rev. et corr.		1900	380	Société française d'imprimerie et de librairie	Paris	http://catalogue.bnf.fr/ark:/12148/cb370626163/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; PB-BN-RICHELIEU; priorite_2; responsable_Alexandre-Critique"			
HMPJQRTQ	Stapfer, Paul (1840-1917)	Dernières variations sur mes vieux thèmes : des réputations littéraires, le style, l'âme, le moi, l'inquiétude religieuse, confession et testament	https://archive.org/details/derniresvariat00stap	1914	296	Fischbacher	Paris	http://catalogue.bnf.fr/ark:/12148/cb31399143m/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
KP682MSX	"Sue, Eugène (1804-1857); Monselet, Charles (1825-1888)"	Fernand Duplessis, ou Mémoires d'un mari... II	https://books.google.fr/books?id=3iU6AAAAcAAJ	1853	171	[s.n.]	New York : [s.n.]	http://catalogue.bnf.fr/ark:/12148/cb324609858/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			Monselet, Charles (1825-1888)
I7BRFRBQ	Thibaudet, Albert (1874-1936)	Les Princes lorrains		1924	237	B. Grasset	Paris	http://catalogue.bnf.fr/ark:/12148/cb314544458/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_1; responsable_Alexandre-Critique"			
QVEMDUFA	Thibaudet, Albert (1874-1936)	Stendhal		1931	190	Hachette	Paris	http://catalogue.bnf.fr/ark:/12148/cb314544516/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_1; responsable_Alexandre-Critique"			
DQWTUFMN	Vandérem, Fernand (1864-1939)	Le Miroir des lettres, 1re série (1918)	https://archive.org/details/lemiroirdeslettr01vand	1918		Flammarion	Paris	http://catalogue.bnf.fr/ark:/12148/cb36574327b/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
44UDV96B	Vandérem, Fernand (1864-1939)	Le Miroir des lettres, 2e série (1919)	https://archive.org/details/lemiroirdeslettr02vand	1921	268	E. Flammarion	Paris	http://catalogue.bnf.fr/ark:/12148/cb36574327b/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
